job title,job_type,company,location,Experience Needed:,Career Level:,Education Level:,Salary:,Job Categories:,skills and tools
Big Data Consultant,Full Time,Fingerprint consultancy,"Cairo, Egypt",'More than 3 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, Social Insurance / Medical Insurance'","'Engineering - Telecom/Technology', 'Engineering - Other', 'IT/Software Development'","'Computer Science', 'Programming', 'Information Technology (IT)', 'Hive', 'Java', 'Spark', 'ETL', 'Engineering', 'NoSQL', 'Big Data', 'Apache Spark', 'Hadoop', 'Python', 'Computer Engineering'"
Data Management & Bigdata Team Lead,Full Time,KnowledgeNet,"Nasr City, Cairo",'7 to 12 years','Manager ',"""Bachelor's Degree""",'Confidential',"'Quality', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Software', 'Data Warehouse', 'Data Warehousing', 'Data Stage', 'ETL', 'Troubleshooting', 'Microsoft Office', 'English', 'Software Engineering', 'SQL', 'System Analysis', 'Microsoft SQL Server', 'Quality Assurance', 'Software Development', 'Quality', 'Information Technology (IT)', 'Testing', 'Data Stage Development', 'Data Developer', 'Computer Science', 'MySQL', 'Software Testing', 'End To End Implementation', 'Data Integration', 'Data Stage 11.x', 'Analysis'"
Technical Engineer - German Speaker,Full Time,Expleo,"Maadi, Cairo",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'7000 to 10000 EGP Per Month',"'Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Programming', 'Cloud', 'SoapUI', 'Engineering', 'Technical Support', 'Technical', 'English', 'HP Service Test', 'CA LISA', 'Java', 'QTP', 'Neoload', 'Quality', 'Information Technology (IT)', 'Selenium', 'TOSCA', 'Customer Support', 'Testing', 'HP', 'Service Virtualize', 'Perl', 'C#', 'HP UFT', 'LoadRunner', 'Computer Science', 'Shell', 'CA GridTools Data Maker', 'JMeter', 'German', 'IBM', 'Computer Engineering'"
NLP Engineer,Full Time,Tahaluf Al Emarat Technical Solutions,"Cairo, Egypt",'More than 2 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, Working remotely with us'","'Engineering - Telecom/Technology', 'IT/Software Development'","'ML', 'Data Science', 'NumPy', 'Machine Learning', 'Python', 'TensorFlow', 'NLP'"
Data Processor- Offshore,Full Time,Petrological Integrated Solutions,"Stanley, Alexandria",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential','Engineering - Construction/Civil/Architecture',"'Data Processing', 'English', 'offshore', 'Oil Field', 'Engineering Field', 'AutoCAD', 'Data Processor'"
Operations And Data Engineering Manager,Full Time,Egybell,"Salam City, Cairo",'4 to 14 years','Experienced (Non-Manager)','Not Specified','Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development', 'Operations/Management'","'Computer Science', 'Electrical', 'Information Technology (IT)', 'English', 'ELK', 'Electrical Engineering', 'Physics', 'Data Analysis', 'Electronics', 'Mechanical Engineering', 'Big Data', 'Hadoop', 'Engineering', 'Big Data Analytics', 'Mechanical'"
Sales Engineer,Full Time,Wadi Degla Trading ,"Maadi, Cairo",'0 to 2 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""","'Confidential, Bounce\nCommission'","'Sales/Retail', 'Engineering - Mechanical/Electrical'","'Sales Target', 'Electrical', 'English', 'Electrical Power', 'Sales Engineering', 'Diesel Generator', 'Sales', 'CCTV', 'Data Center', 'HVAC', 'Engineering', 'UPS', 'Sales Skills'"
Pre Sales Engineer,Full Time,BBI-Consultancy,"Nasr City, Cairo",'4 to 6 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'","'Presentation', 'Research', 'Creative', 'Kafka', 'Data', 'Confluent', 'sales skills', 'Informatica', 'Cloudera', 'Communication skills'"
Data Management Lead,Full Time,BBI-Consultancy,"Nasr City, Cairo",'6 to 8 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'Engineering - Other', 'IT/Software Development'","'Linux', 'Computer Science', 'English', 'Information Technology (IT)', 'Programming', 'SQL', 'ETL', 'NoSQL', 'Big Data', 'Engineering', 'Python', 'Software Development'"
Sr. Software Engineer - Back End Java,Full Time,Sahab Smart Solutions,"Cairo, Egypt",'5 to 10 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Engineering - Telecom/Technology', 'IT/Software Development'","'Database Design', 'Object Oriented Design', 'Design Patterns', 'Java Jee', 'Spring Boot', 'Java SE', 'Algorithms', 'Data Structures'"
