job title,job_type,company,location,Experience Needed:,Career Level:,Education Level:,Salary:,Job Categories:,skills and tools
Data Analyst Intern,Internship,TMentors,"Maadi, Cairo",'Not Specified','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'3000 to 5000 EGP Per Month',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Business Intelligence', 'Analysis', 'Data Science', 'Data Analysis', 'SQL', 'Powerbi', 'ETL', 'Computer Science', 'Information Technology (IT)'"
Medical Data Analyst & Program Creation,Full Time,Andalusia Maadi Hospital ,"Maadi, Cairo",'More than 1 year','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Medical/Healthcare', 'Pharmaceutical'","'Medical', 'Analysis', 'Data Analysis', 'Programming', 'Pharmacy', 'Data'"
GIS Analyst,Full Time,Confidential Company - ,"Heliopolis, Cairo",'3 to 7 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Visual Sudio .Net', 'Telecom Engineering', 'JavaScript', 'Computer Science', 'Information Technology (IT)', 'GIS', 'HTML5'"
Data Analyst,Full Time,Confidential Company - ,"10th of Ramadan City, Cairo",'2 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Business Intelligence', 'analytical', 'Analysis', 'Project Management', 'business', 'Data Analysis', 'Data', 'Tableau', 'Computer Science', 'Information Technology (IT)', 'English', 'BI'"
Workforce Analyst,Full Time,Sykes Enterprises,"Maadi, Cairo",'More than 1 year','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'Customer Service/Support'","'Scheduling', 'WFM', 'Customer Care', 'Analysis', 'Reporting', 'Customer Service', 'Data Analysis', 'Microsoft Power BI', 'SQL', 'Call Center', 'RTM', 'Microsoft Excel', 'Forecasting'"
System Analyst,Full Time,Alrayda Elkobra,"Moharam Bek, Alexandria",'More than 4 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Business Analysis', 'System Analysis', 'System Analyst', 'Computer Science', 'Information Technology (IT)', 'Analyst'"
Software Senior Business Analyst,Full Time,Softec Technologies,"Maadi, Cairo",'More than 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Project/Program Management'","'Business Analysis', 'Analysis', 'System Analysis', 'Project Management', 'Communication Skills', 'Software Development', 'Computer Science', 'Information Technology (IT)', 'Technical Writing', 'Technical Analysis'"
Senior Business Analyst,Full Time,Caelum Egypt,"Dokki, Giza",'More than 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Business Analysis', 'Business', 'Analysis', 'System Analysis', 'Science', 'Data', 'Software', 'BOM', 'Engineering', 'Analytical', 'Computer Science', 'Information Technology (IT)'"
Sales Analyst,Full Time,Fatura ,"Maadi, Cairo",'2 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'Sales/Retail'","'Sales', 'Analysis', 'sales skills', 'Data Analysis', 'Sales Analysis'"
Financial Analyst,Full Time,Cairoscan,"Mohandessin, Giza",'5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Accounting/Finance', 'Analyst/Research', 'Banking'","'analytical', 'Finance', 'excel', 'Commerce', 'Financial Analysis', 'Accounting', 'BOD', 'Auditing', 'English'"
